keyword,point,surface,type,rank_group,rank_absolute,title,domain,url,cid,rating_value,rating_votes,is_lmhg
community based mental health services Louisville KY,unknown,maps,local_pack,3,3,"Tyler Horn, LCSW",louisvillementalhealth.org,https://louisvillementalhealth.org/,10074355657333415292,5,5,1
mental health services Louisville KY,unknown,maps,local_pack,1,1,Better You Behavioral Health Services,zocdoc.com,https://www.zocdoc.com/practice/better-you-behavioral-health-services-146494?LocIdent=355819&utm_source=reservewithgoogle&utm_medium=seosynd&utm_campaign=hai&entity_id=pt_Wu4m1OvawUC2yowE0ILv_Q-lo_X6B0qk02o0e0XbhXgmgwQQ-entity&rwg_token=AE37R_j48qMx83u9DVTVQcMQcwL7bGrAzmtbAhckrpm8EUDOEST4xdUL1AsycABKhn_oZhjwGird8Djvq2OyzaZl2ubdptVhpQ%3D%3D&source=cat,12068886867425774092,5,1,0
mental health services Louisville KY,unknown,maps,local_pack,2,2,Old Louisville Counseling Center,,,9129094734765265546,,,0
mental health services Louisville KY,unknown,maps,local_pack,3,3,Conscientia Health,conscientiahealth.com,https://www.conscientiahealth.com/,7882553465664180267,,,0
mental health services Louisville KY,unknown,maps,local_pack,4,4,Steps Behavioral Care,,,1753429238079149891,,,0
mental health services Louisville KY,unknown,maps,local_pack,5,5,"Improved Dynamics ABA - Louisville, KY",improveddynamicsaba.com,https://improveddynamicsaba.com/,5099960698760385780,5,8,0
mental health services Louisville KY,unknown,maps,local_pack,6,6,"Kimberly LaFollette, Psy.D.",kimberlylafollette.com,http://www.kimberlylafollette.com/,13859285000941699518,5,1,0
mental health services Louisville KY,unknown,maps,local_pack,7,7,Domestic Violence Intake Center,louisvilleky.gov,https://louisvilleky.gov/government/county-attorney/domestic-violence-intake-center,10378902588631618563,3.7,3,0
mental health services Louisville KY,unknown,maps,local_pack,8,8,Brittainy Shaw,,,1268301052706177397,1,1,0
mental health services Louisville KY,unknown,maps,local_pack,9,9,Cardinal Family Care,cardinalfamilycare.com,https://www.cardinalfamilycare.com/,17887780695374312637,4.8,1300,0
mental health services Louisville KY,unknown,maps,local_pack,10,10,360 Hazardous Cleanup - Louisville,360haz.com,https://360haz.com/,1535429058469685837,5,3,0
mental health services Louisville KY,unknown,maps,local_pack,11,11,Sagacity Wellness Group,,,2736530874127176641,,,0
child therapy Louisville KY,office,maps,maps_search,1,1,"Tyler Horn, LCSW",louisvillementalhealth.org,https://louisvillementalhealth.org/,10074355657333415292,5,5,1
child therapy Louisville KY,office,maps,maps_search,2,2,Louisville Counseling Associates,,,17820421987806657233,5,1,0
child therapy Louisville KY,office,maps,maps_search,3,3,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
counseling Louisville KY,unknown,maps,local_pack,1,1,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,13494564945055058624,5,12,0
counseling Louisville KY,unknown,maps,local_pack,2,2,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/,14361954784997208910,4.7,13,0
counseling Louisville KY,unknown,maps,local_pack,3,3,Awaken Counseling,awakencounselingky.com,https://www.awakencounselingky.com/contact,15240253339951602091,5,2,0
counseling Louisville KY,unknown,maps,local_pack,4,4,Mindive Louisville,mindivetherapy.com,https://mindivetherapy.com/,14864696548445856057,5,6,0
counseling Louisville KY,unknown,maps,local_pack,5,5,Hollie Colwick Counseling,holliecolwickcounseling.com,http://www.holliecolwickcounseling.com/,14049404355145351635,5,4,0
counseling Louisville KY,unknown,maps,local_pack,6,6,Deeper Roots Counseling,deeperrootscounselingmft.com,https://deeperrootscounselingmft.com/contact-us,13712906799962113448,5,1,0
counseling Louisville KY,unknown,maps,local_pack,7,7,Louisville Expressive Therapies,louisvilleexpressivetherapies.com,http://louisvilleexpressivetherapies.com/,8014489888291011624,5,3,0
counseling Louisville KY,unknown,maps,local_pack,8,8,"Nicola E Foreman, LCSW",foremancounseling.com,http://www.foremancounseling.com/,13041276627030282739,5,1,0
counseling Louisville KY,unknown,maps,local_pack,9,9,"Chris Davis, MSSW, LMFT",mindivetherapy.com,http://mindivetherapy.com/,17205182146927484071,5,3,0
counseling Louisville KY,unknown,maps,local_pack,10,10,"Enrich Counseling Center, PLLC.",enrichcounselingcenter.com,https://www.enrichcounselingcenter.com/,2949943677822999818,,,0
counseling Louisville KY,unknown,maps,local_pack,11,11,Renew Counseling and EMDR,renewcounselingservices.org,https://renewcounselingservices.org/,13629655638732558043,3,4,0
counseling Louisville KY,unknown,maps,local_pack,12,12,"Michelle Stillwagon LMFT, AASECT Certified Sex Therapist",michellestillwagon.com,http://www.michellestillwagon.com/,11797980639873039572,4.8,5,0
counseling Louisville KY,unknown,maps,local_pack,13,13,"Snellen Counseling, LLC",psychologytoday.com,https://www.psychologytoday.com/us/therapists/kevin-snellen-saint-matthews-ky/416148,8248974699288009913,2,1,0
counseling Louisville KY,unknown,maps,local_pack,14,14,Tranquility Counseling,psychologytoday.com,https://www.psychologytoday.com/us/therapists/kevin-snellen-saint-matthews-ky/416148,15692671222241308371,,,0
counseling Louisville KY,unknown,maps,local_pack,15,15,Willow Oak Counseling,,,10323567510443149611,,,0
counseling Louisville KY,unknown,maps,local_pack,16,16,Inner Piece Therapeutic Services,therapyden.com,https://www.therapyden.com/therapist/cassey-laforge-louisville-ky,9954895306375315748,,,0
counseling Louisville KY,unknown,maps,local_pack,17,17,LiveWell Insurance Co,,,2236478406579580309,5,9,0
counseling Louisville KY,unknown,maps,local_pack,18,18,St. Matthews Animal Clinic,stmatthewsanimalclinic.com,http://stmatthewsanimalclinic.com/,2505476793275726516,4.4,398,0
counseling Louisville KY,unknown,maps,local_pack,19,19,Acute Hearing,acutehearingcenters.com,https://acutehearingcenters.com/locations/st-matthews-louisville-louisville-ky-40207/?utm_source=google&utm_medium=organic&utm_campaign=GBP,17885731022197459265,4.9,105,0
counseling Louisville KY,unknown,maps,local_pack,20,20,"Mary Badami, LMFT",,,2931619520567242319,,,0
group therapy Louisville KY,jeffersontown,maps,maps_search,1,1,Havenpoint Counseling,havenpointcounseling.com,https://www.havenpointcounseling.com/,2722398005986571156,5,6,0
in home therapy Louisville KY,office,maps,maps_search,1,1,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
in home therapy Louisville KY,office,maps,maps_search,2,2,"Tyler Horn, LCSW",louisvillementalhealth.org,https://louisvillementalhealth.org/,10074355657333415292,5,5,1
in home therapy Louisville KY,office,maps,maps_search,3,3,The InnerView,counselinglouisvilleky.com,https://counselinglouisvilleky.com/,13476317339948307855,3.8,8,0
in home therapy Louisville KY,office,maps,maps_search,4,4,"1st Priority Healthcare, LLC",1stpriorityhealthcare.com,http://www.1stpriorityhealthcare.com/,5814388627300367504,3.5,8,0
group therapy Louisville KY,office,maps,maps_search,1,1,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
group therapy Louisville KY,office,maps,maps_search,2,2,"Tyler Horn, LCSW",louisvillementalhealth.org,https://louisvillementalhealth.org/,10074355657333415292,5,5,1
group therapy Louisville KY,office,maps,maps_search,3,3,Louisville Counseling Associates,,,17820421987806657233,5,1,0
group therapy Louisville KY,office,maps,maps_search,4,4,"1st Priority Healthcare, LLC",1stpriorityhealthcare.com,http://www.1stpriorityhealthcare.com/,5814388627300367504,3.5,8,0
group therapy Louisville KY,office,maps,maps_search,5,5,Bardstown Road Physical Therapy Group,physicaltherapygroupinc.com,http://www.physicaltherapygroupinc.com/,17942862270547205962,4.9,81,0
mental health services Louisville KY,unknown,maps,local_pack,1,1,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
mental health services Louisville KY,unknown,maps,local_pack,2,2,Louisville Counseling Associates,,,17820421987806657233,5,1,0
mental health services Louisville KY,unknown,maps,local_pack,3,3,"Tyler Horn, LCSW",louisvillementalhealth.org,https://louisvillementalhealth.org/,10074355657333415292,5,5,1
mental health services Louisville KY,unknown,maps,local_pack,4,4,"1st Priority Healthcare, LLC",1stpriorityhealthcare.com,http://www.1stpriorityhealthcare.com/,5814388627300367504,3.5,8,0
mental health services Louisville KY,unknown,maps,local_pack,5,5,The InnerView,counselinglouisvilleky.com,https://counselinglouisvilleky.com/,13476317339948307855,3.8,8,0
mental health services Louisville KY,unknown,maps,local_pack,6,6,Baker Sarah L,,,16997915222329197176,,,0
mental health services Louisville KY,unknown,maps,local_pack,7,7,Modern Psychiatry - Kentucky,mymodernpsychiatry.com,https://www.mymodernpsychiatry.com/louisville-ky,10014429918330132065,,,0
mental health services Louisville KY,unknown,maps,local_pack,1,1,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,13494564945055058624,5,12,0
mental health services Louisville KY,unknown,maps,local_pack,2,2,Awaken Counseling,awakencounselingky.com,https://www.awakencounselingky.com/contact,15240253339951602091,5,2,0
mental health services Louisville KY,unknown,maps,local_pack,3,3,"Peace of Mind Psychiatry, PLLC",peaceofmindpsych.net,https://www.peaceofmindpsych.net/,11975158110609104231,4.5,25,0
mental health services Louisville KY,unknown,maps,local_pack,4,4,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/,14361954784997208910,4.7,13,0
mental health services Louisville KY,unknown,maps,local_pack,5,5,Hollie Colwick Counseling,holliecolwickcounseling.com,http://www.holliecolwickcounseling.com/,14049404355145351635,5,4,0
mental health services Louisville KY,unknown,maps,local_pack,6,6,Mindive Louisville,mindivetherapy.com,https://mindivetherapy.com/,14864696548445856057,5,6,0
mental health services Louisville KY,unknown,maps,local_pack,7,7,"Enrich Counseling Center, PLLC.",enrichcounselingcenter.com,https://www.enrichcounselingcenter.com/,2949943677822999818,,,0
mental health services Louisville KY,unknown,maps,local_pack,8,8,Deeper Roots Counseling,deeperrootscounselingmft.com,https://deeperrootscounselingmft.com/contact-us,13712906799962113448,5,1,0
mental health services Louisville KY,unknown,maps,local_pack,9,9,"Nicola E Foreman, LCSW",foremancounseling.com,http://www.foremancounseling.com/,13041276627030282739,5,1,0
mental health services Louisville KY,unknown,maps,local_pack,10,10,Inner Piece Therapeutic Services,therapyden.com,https://www.therapyden.com/therapist/cassey-laforge-louisville-ky,9954895306375315748,,,0
mental health services Louisville KY,unknown,maps,local_pack,11,11,"Alice Walker, LPCC, Inc.",psychologytoday.com,https://www.psychologytoday.com/us/therapists/alice-elizabeth-walker-louisville-ky/252958?sid=5fce5c861b796&name=alice+walker&ref=1&tr=ResultsProfileBtn,10997479977301312204,,,0
mental health services Louisville KY,unknown,maps,local_pack,12,12,Louisville Expressive Therapies,louisvilleexpressivetherapies.com,http://louisvilleexpressivetherapies.com/,8014489888291011624,5,3,0
mental health services Louisville KY,unknown,maps,local_pack,13,13,Willow Oak Counseling,,,10323567510443149611,,,0
mental health services Louisville KY,unknown,maps,local_pack,14,14,"Katie Montgomery, LMFT",,,7858211316124414379,,,0
mental health services Louisville KY,unknown,maps,local_pack,15,15,Renew Counseling and EMDR,renewcounselingservices.org,https://renewcounselingservices.org/,13629655638732558043,3,4,0
mental health services Louisville KY,unknown,maps,local_pack,16,16,"InnerMost Solution, LLC - Colon Hydrotherapy",innermostsolution.com,http://www.innermostsolution.com/,7802928211531428407,4.8,52,0
mental health services Louisville KY,unknown,maps,local_pack,17,17,"Michelle Stillwagon LMFT, AASECT Certified Sex Therapist",michellestillwagon.com,http://www.michellestillwagon.com/,11797980639873039572,4.8,5,0
mental health services Louisville KY,unknown,maps,local_pack,18,18,Kravic John MD,,,10524974926066313644,,,0
mental health services Louisville KY,unknown,maps,local_pack,19,19,Clear Path College Counseling,,,5144369486963972083,,,0
mental health services Louisville KY,unknown,maps,local_pack,20,20,"Mary Badami, LMFT",,,2931619520567242319,,,0
community based mental health services Louisville KY,st,maps,maps_search,1,1,Northstar Counseling Center,northstarcounselingcenter.com,http://northstarcounselingcenter.com/,8715087175106616123,4.7,12,0
counseling Louisville KY,st,maps,maps_paid_item,1,1,Olive Branch Family Counseling,,,,4.9,9,0
counseling Louisville KY,st,maps,maps_search,1,2,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,13494564945055058624,5,12,0
counseling Louisville KY,st,maps,maps_search,2,3,Thriveworks Counseling & Therapy Louisville,thriveworks.com,https://thriveworks.com/louisville-counseling/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,12344539005794056131,5,2,0
counseling Louisville KY,st,maps,maps_search,3,4,Mindive Louisville,mindivetherapy.com,https://mindivetherapy.com/,14864696548445856057,5,6,0
counseling Louisville KY,st,maps,maps_search,4,5,Northstar Counseling Center,northstarcounselingcenter.com,http://northstarcounselingcenter.com/,8715087175106616123,4.7,12,0
counseling Louisville KY,st,maps,maps_search,5,6,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/,14361954784997208910,4.7,13,0
counseling Louisville KY,st,maps,maps_search,6,7,Awaken Counseling,awakencounselingky.com,https://www.awakencounselingky.com/contact,15240253339951602091,5,2,0
counseling Louisville KY,st,maps,maps_search,7,8,Hollie Colwick Counseling,holliecolwickcounseling.com,http://www.holliecolwickcounseling.com/,14049404355145351635,5,4,0
counseling Louisville KY,st,maps,maps_search,8,9,"Turning Leaf Counseling/ Rachel Murrell, LCSW",louisville-therapy.com,http://www.louisville-therapy.com/,6123479053591101813,4.5,8,0
counseling Louisville KY,st,maps,maps_search,9,10,Kind Mind Neurofeedback & Counseling,morgan-mckinley.clientsecure.me,https://morgan-mckinley.clientsecure.me/,559282850860307832,5,2,0
counseling Louisville KY,st,maps,maps_search,10,11,Crimson Dove Counseling Services,crimsondovecounseling.com,http://www.crimsondovecounseling.com/,17548555043922604511,3.7,3,0
counseling Louisville KY,st,maps,maps_search,11,12,"Chris Davis, MSSW, LMFT",mindivetherapy.com,http://mindivetherapy.com/,17205182146927484071,5,3,0
counseling Louisville KY,st,maps,maps_search,12,13,"Renew Counseling, LLC",renewcounselingservices.org,https://renewcounselingservices.org/,17982171571561174484,4.4,13,0
counseling Louisville KY,st,maps,maps_search,13,14,"Nicola E Foreman, LCSW",foremancounseling.com,http://www.foremancounseling.com/,13041276627030282739,5,1,0
counseling Louisville KY,st,maps,maps_search,14,15,Cheryl Ades LCSW Inc,,,18197576725844627263,3.7,3,0
counseling Louisville KY,st,maps,maps_search,15,16,Dru Kemp PhD LCSW,,,10447411280742882770,4,2,0
counseling Louisville KY,st,maps,maps_search,16,17,Deeper Roots Counseling,deeperrootscounselingmft.com,https://deeperrootscounselingmft.com/contact-us,13712906799962113448,5,1,0
counseling Louisville KY,st,maps,maps_search,17,18,"Katie Fulinello Therapy, LLC",katiefulinello.com,https://www.katiefulinello.com/,14622696735764067967,,,0
counseling Louisville KY,st,maps,maps_search,18,19,Louisville Expressive Therapies,louisvilleexpressivetherapies.com,http://louisvilleexpressivetherapies.com/,8014489888291011624,5,3,0
counseling Louisville KY,st,maps,maps_search,19,20,Counseling Alliance-Louisville,,,10865394533462516378,,,0
counseling Louisville KY,st,maps,maps_search,20,21,"Snellen Counseling, LLC",psychologytoday.com,https://www.psychologytoday.com/us/therapists/kevin-snellen-saint-matthews-ky/416148,8248974699288009913,2,1,0
therapist Louisville KY,unknown,maps,local_pack,1,1,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,13494564945055058624,5,12,0
therapist Louisville KY,unknown,maps,local_pack,2,2,Mindive Louisville,mindivetherapy.com,https://mindivetherapy.com/,14864696548445856057,5,6,0
therapist Louisville KY,unknown,maps,local_pack,3,3,Hollie Colwick Counseling,holliecolwickcounseling.com,http://www.holliecolwickcounseling.com/,14049404355145351635,5,4,0
therapist Louisville KY,unknown,maps,local_pack,4,4,Awaken Counseling,awakencounselingky.com,https://www.awakencounselingky.com/contact,15240253339951602091,5,2,0
therapist Louisville KY,unknown,maps,local_pack,5,5,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/,14361954784997208910,4.7,13,0
therapist Louisville KY,unknown,maps,local_pack,6,6,"Julie Ciriano, LCSW",myinnermoststrength.com,http://myinnermoststrength.com/,16584704834729980328,5,2,0
therapist Louisville KY,unknown,maps,local_pack,7,7,Louisville Expressive Therapies,louisvilleexpressivetherapies.com,http://louisvilleexpressivetherapies.com/,8014489888291011624,5,3,0
therapist Louisville KY,unknown,maps,local_pack,8,8,"Chris Davis, MSSW, LMFT",mindivetherapy.com,http://mindivetherapy.com/,17205182146927484071,5,3,0
therapist Louisville KY,unknown,maps,local_pack,9,9,"Nicola E Foreman, LCSW",foremancounseling.com,http://www.foremancounseling.com/,13041276627030282739,5,1,0
therapist Louisville KY,unknown,maps,local_pack,10,10,Deeper Roots Counseling,deeperrootscounselingmft.com,https://deeperrootscounselingmft.com/contact-us,13712906799962113448,5,1,0
therapist Louisville KY,unknown,maps,local_pack,11,11,"Peace of Mind Psychiatry, PLLC",peaceofmindpsych.net,https://www.peaceofmindpsych.net/,11975158110609104231,4.5,25,0
therapist Louisville KY,unknown,maps,local_pack,12,12,"Enrich Counseling Center, PLLC.",enrichcounselingcenter.com,https://www.enrichcounselingcenter.com/,2949943677822999818,,,0
therapist Louisville KY,unknown,maps,local_pack,13,13,Renew Counseling and EMDR,renewcounselingservices.org,https://renewcounselingservices.org/,13629655638732558043,3,4,0
therapist Louisville KY,unknown,maps,local_pack,14,14,Mbodi - Mindful Bodywork & Massage,mbodilouisville.com,http://mbodilouisville.com/,9475838673788530051,5,95,0
therapist Louisville KY,unknown,maps,local_pack,15,15,"Michelle Stillwagon LMFT, AASECT Certified Sex Therapist",michellestillwagon.com,http://www.michellestillwagon.com/,11797980639873039572,4.8,5,0
therapist Louisville KY,unknown,maps,local_pack,16,16,Tranquility Counseling,psychologytoday.com,https://www.psychologytoday.com/us/therapists/kevin-snellen-saint-matthews-ky/416148,15692671222241308371,,,0
therapist Louisville KY,unknown,maps,local_pack,17,17,Inner Piece Therapeutic Services,therapyden.com,https://www.therapyden.com/therapist/cassey-laforge-louisville-ky,9954895306375315748,,,0
therapist Louisville KY,unknown,maps,local_pack,18,18,The Jiu-Jitsu Therapist,,,15267635979848565481,5,8,0
therapist Louisville KY,unknown,maps,local_pack,19,19,"Alice Walker, LPCC, Inc.",psychologytoday.com,https://www.psychologytoday.com/us/therapists/alice-elizabeth-walker-louisville-ky/252958?sid=5fce5c861b796&name=alice+walker&ref=1&tr=ResultsProfileBtn,10997479977301312204,,,0
mental health services Louisville KY,office,maps,maps_search,1,1,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
mental health services Louisville KY,office,maps,maps_search,2,2,"Tyler Horn, LCSW",louisvillementalhealth.org,https://louisvillementalhealth.org/,10074355657333415292,5,5,1
mental health services Louisville KY,office,maps,maps_search,3,3,"1st Priority Healthcare, LLC",1stpriorityhealthcare.com,http://www.1stpriorityhealthcare.com/,5814388627300367504,3.5,8,0
mental health services Louisville KY,office,maps,maps_search,4,4,The InnerView,counselinglouisvilleky.com,https://counselinglouisvilleky.com/,13476317339948307855,3.8,8,0
mental health services Louisville KY,office,maps,maps_search,5,5,Louisville Counseling Associates,,,17820421987806657233,5,1,0
mental health services Louisville KY,office,maps,maps_search,6,6,Modern Psychiatry - Kentucky,mymodernpsychiatry.com,https://www.mymodernpsychiatry.com/louisville-ky,10014429918330132065,,,0
mental health services Louisville KY,office,maps,maps_search,7,7,Baker Sarah L,,,16997915222329197176,,,0
mental health services Louisville KY,office,maps,maps_search,8,8,Susan Diemer,,,15695289135338672993,,,0
mental health services Louisville KY,office,maps,maps_search,9,9,Lisa Mcnear,louisvillecounseling.weebly.com,https://louisvillecounseling.weebly.com/,6417530531138522431,,,0
mental health services Louisville KY,office,maps,maps_search,10,10,Parrish Mark A,counselinglouisvilleky.com,http://www.counselinglouisvilleky.com/,2521854889258428200,,,0
mental health services Louisville KY,office,maps,maps_search,11,11,"Kathryn M. Miller, LMFT",,,11086272437727374659,,,0
mental health services Louisville KY,office,maps,maps_search,12,12,"Thomas L. Haffner, LMFT, LLC",haffnertherapy.com,http://www.haffnertherapy.com/,17924884313301513905,,,0
case management Louisville KY,unknown,maps,local_pack,1,1,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,2768315829466915400,4.4,19,1
case management Louisville KY,unknown,maps,local_pack,2,2,"1st Priority Healthcare, LLC",1stpriorityhealthcare.com,http://www.1stpriorityhealthcare.com/,5814388627300367504,3.5,8,0
family therapy Louisville KY,downtown,maps,maps_search,1,1,Pax Recovery Center,paxrecoverycenter.org,https://www.paxrecoverycenter.org/,17058234278314520731,4.8,48,0
family therapy Louisville KY,downtown,maps,maps_search,2,2,UofL Health – Frazier Rehabilitation Institute,uoflhealth.org,https://uoflhealth.org/locations/frazier-rehabilitation-institute/?utm_source=GMBSocialClimb&utm_medium=UofLHealth%E2%80%93FrazierRehabilitationInstitute,2791559800093347928,3.6,97,0
family therapy Louisville KY,downtown,maps,maps_search,3,3,Cardinal Family Care,cardinalfamilycare.com,https://www.cardinalfamilycare.com/,17887780695374312637,4.8,1280,0
family therapy Louisville KY,downtown,maps,maps_search,4,4,Just Solutions,just-solutions.org,http://www.just-solutions.org/,6225191544061333846,1.8,5,0
family therapy Louisville KY,downtown,maps,maps_search,5,5,AllyMed,kypainassociates.com,http://www.kypainassociates.com/?utm_medium=AllyMed&utm_source=GMBSocialClimb,11150668958528775865,4.9,236,0
family therapy Louisville KY,downtown,maps,maps_search,6,6,UofL Physicians – Physical Medicine & Rehabilitation,uoflhealth.org,https://uoflhealth.org/locations/uofl-physicians-pmr/?utm_source=GMBSocialClimb&utm_medium=UofLPhysicians%E2%80%93PhysicalMedicine%26Rehabilitation,12465944059245982207,4.8,106,0
