keyword,surface,type,rank_group,rank_absolute,title,domain,url,phone,cid,rating_value,rating_votes,is_lmhg
individual therapy Louisville KY,local_finder,local_pack,3,3,Louisville Center for Therapy and Personal Sustainability,lctps.org,http://www.lctps.org/,(502) 694-0919,18341569579325599505,5,20,0
individual therapy Louisville KY,local_finder,local_pack,4,4,Bridge Counseling and Wellness,bridgemindbody.com,http://www.bridgemindbody.com/,(502) 694-9488,4593127249481427181,4.3,20,0
individual therapy Louisville KY,local_finder,local_pack,5,5,Core Counseling,thecorecounseling.com,http://www.thecorecounseling.com/,(502) 533-5288,3210137482875415687,5,47,0
individual therapy Louisville KY,local_finder,local_pack,6,6,Discovery502 Counseling,discovery502counseling.com,https://www.discovery502counseling.com/,(502) 694-0377,3659523051043987812,5,1,0
individual therapy Louisville KY,local_finder,local_pack,7,7,Thriveworks Counseling & Therapy Louisville,thriveworks.com,https://thriveworks.com/louisville-counseling/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,(502) 289-6746,12344539005794056131,5,2,0
individual therapy Louisville KY,local_finder,local_pack,8,8,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,(502) 701-2171,13494564945055058624,5,12,0
individual therapy Louisville KY,local_finder,local_pack,9,9,"Michael RoBards, LCSW",michaelarobards.com,http://www.michaelarobards.com/,(502) 225-3025,14048279622754160023,5,50,0
individual therapy Louisville KY,local_finder,local_pack,10,10,Grace Psychological Services - Louisville,louisvillegracepsychological.com,https://louisvillegracepsychological.com/,(502) 203-0838,8040980529390876601,5,22,0
individual therapy Louisville KY,local_finder,local_pack,11,11,Revelation Counseling Center,rcclouisville.com,http://www.rcclouisville.com/,(502) 224-4478,17246625085606750563,4.8,45,0
individual therapy Louisville KY,local_finder,local_pack,12,12,Mindful Mending,mindfulmending.com,http://www.mindfulmending.com/,(502) 431-2587,2327402762677278244,5,2,0
individual therapy Louisville KY,local_finder,local_pack,13,13,Counseling Unconditionally,counselingunconditionally.com,https://counselingunconditionally.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,(502) 717-1596,7015820082637248146,5,36,0
individual therapy Louisville KY,local_finder,local_pack,14,14,"Avenues Unlimited Counseling Center, Inc.",avenuesunlimited.com,https://www.avenuesunlimited.com/,(502) 459-9635,4664746409427207013,5,1,0
individual therapy Louisville KY,local_finder,local_pack,15,15,Blue Moon Therapy,bluemoontherapygroup.com,https://www.bluemoontherapygroup.com/,(502) 836-0759,3281283209690975545,4.5,13,0
individual therapy Louisville KY,local_finder,local_pack,16,16,Louisville Health & Healing,louisvillehealthandhealing.com,http://louisvillehealthandhealing.com/,(502) 472-7293,3518303045403584482,4.5,24,0
individual therapy Louisville KY,local_finder,local_pack,17,17,b.mindful Louisville,bmindfullouisville.com,http://bmindfullouisville.com/,(502) 528-1363,12947764001160807206,5,14,0
individual therapy Louisville KY,local_finder,local_pack,18,18,LifeStance Therapists & Psychiatrists Louisville,lifestance.com,https://lifestance.com/location/louisville-ky-100-executive-park/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,(502) 313-6880,14167678494717924023,4.7,542,0
individual therapy Louisville KY,local_finder,local_pack,19,19,"LifeWell Counseling Services, PLLC",lifewellcounselingky.com,https://www.lifewellcounselingky.com/,(502) 805-7659,18397531084342750568,5,3,0
individual therapy Louisville KY,local_finder,local_pack,20,20,"Best Life Mental Health Services, LLC. - Baxter Ave.",bestlifelouisville.com,https://www.bestlifelouisville.com/,(502) 333-9466,2396202440385873287,5,1,0
therapist Louisville KY,maps,maps_search,1,1,Kentucky Counseling Center,kentuckycounselingcenter.com,http://kentuckycounselingcenter.com/,+1855-591-0092,12572663660737329637,4.6,605,0
therapist Louisville KY,maps,maps_search,2,2,Evolved Counseling,evolvedcounselingcenter.com,https://evolvedcounselingcenter.com/,+1502-689-9952,722961778310681613,4.6,67,0
therapist Louisville KY,maps,maps_search,3,3,Discovery502 Counseling,discovery502counseling.com,https://www.discovery502counseling.com/,+1502-694-0377,3659523051043987812,5,1,0
therapist Louisville KY,maps,maps_search,4,4,Downtown Counseling Associates,,,+1502-584-7216,4752649149072517388,,,0
therapist Louisville KY,maps,maps_search,5,5,Steps Behavioral Care,,,+1786-447-6341,1753429238079149891,,,0
therapist Louisville KY,maps,maps_search,6,6,"Improved Dynamics ABA - Louisville, KY",improveddynamicsaba.com,https://improveddynamicsaba.com/,+1571-400-2860,5099960698760385780,5,8,0
therapist Louisville KY,maps,maps_search,7,7,Bridge Counseling and Wellness,bridgemindbody.com,http://www.bridgemindbody.com/,+1502-694-9488,4593127249481427181,4.3,20,0
therapist Louisville KY,maps,maps_search,8,8,"Khalil Mind Kare, LLC",khalilmindkare.com,https://khalilmindkare.com/,+1502-309-4382,5378364132056839637,5,17,0
therapist Louisville KY,maps,maps_search,9,9,Blue Moon Therapy,bluemoontherapygroup.com,https://www.bluemoontherapygroup.com/,+1502-836-0759,3281283209690975545,4.5,13,0
therapist Louisville KY,maps,maps_search,10,10,Old Louisville Counseling Center,oldlouisvillecc.com,https://oldlouisvillecc.com/,+1502-583-9526,17935466970581937034,3.3,4,0
therapist Louisville KY,maps,maps_search,11,11,"Psych, Inc",psychinchelps.com,http://psychinchelps.com/,+1502-272-9718,6600645316287422352,,,0
therapist Louisville KY,maps,maps_search,12,12,Louisville Center for Therapy and Personal Sustainability,lctps.org,http://www.lctps.org/,+1502-694-0919,18341569579325599505,5,20,0
therapist Louisville KY,maps,maps_search,13,13,Cultivate Behavioral Health & Education - Counseling Services,cultivatebhe.com,https://cultivatebhe.com/locations/kentucky/louisville-ky-mental-health/,+1859-360-3006,1378097550387315905,1,1,0
therapist Louisville KY,maps,maps_search,14,14,Bridge Counseling and Wellness,bridgemindbody.com,https://www.bridgemindbody.com/,,15632309676020927176,5,1,0
therapist Louisville KY,maps,maps_search,15,15,HaveHope Counseling,havehopelouisville.com,http://havehopelouisville.com/about-us/,+1502-290-3050,16079981756307783531,4.2,18,0
therapist Louisville KY,maps,maps_search,16,16,A Brighter Path Counseling Services - Robin Conway LCSW,,,+1502-417-4708,15353537005248733589,5,1,0
therapist Louisville KY,maps,maps_search,17,17,Revelation Counseling Center,rcclouisville.com,http://www.rcclouisville.com/,+1502-224-4478,17246625085606750563,4.8,45,0
therapist Louisville KY,maps,maps_search,18,18,"Bridge The Gap Addiction and Mental Health Services, PLLC",btgamh.com,https://www.btgamh.com/,+1502-416-8783,7256918563430512254,3.9,8,0
therapist Louisville KY,maps,maps_search,19,19,Cleanse Clinic Downtown,thecleanseclinic.com,http://www.thecleanseclinic.com/,+1502-583-4092,5811386252202044287,4.4,23,0
therapist Louisville KY,maps,maps_search,20,20,"Avenues Unlimited Counseling Center, Inc.",avenuesunlimited.com,https://www.avenuesunlimited.com/,+1502-459-9635,4664746409427207013,5,1,0
therapist Louisville KY,maps,maps_search,21,21,Derby City Counseling,derbycitycounseling.com,http://derbycitycounseling.com/,+1502-701-2171,13494564945055058624,5,12,0
therapist Louisville KY,maps,maps_search,22,22,"Anam Mukhtar, OTD, OTR/L",uoflhealth.org,https://uoflhealth.org/provider/anam-mukhtar-occupational-therapy/?utm_source=GMBSocialClimb&utm_medium=AnamMukhtar%2COTD%2COTR%2FL,+1502-561-4295,9858207348508863521,5,1,0
therapist Louisville KY,maps,maps_search,23,23,Mindful Mending,mindfulmending.com,http://www.mindfulmending.com/,+1502-431-2587,2327402762677278244,5,2,0
therapist Louisville KY,maps,maps_search,24,24,Bridgehaven Mental Health Services,bridgehaven.org,http://www.bridgehaven.org/,+1502-585-9444,4033867803495883304,3.4,34,0
therapist Louisville KY,maps,maps_search,25,25,"Madeline C. Baumgardner, LCSW",,,+1502-628-8850,9472983836011056308,,,0
therapist Louisville KY,maps,maps_search,26,26,COMPSERV HEALTH RESOURCES INC,compservhealth.com,https://www.compservhealth.com/,+1888-751-3730,13328802198632458669,4.7,15,0
therapist Louisville KY,maps,maps_search,27,27,The Therapy Lounge and Wellness Boutique,therapylounge.as.me,http://therapylounge.as.me/,+1502-489-4007,5521919624821700299,,,0
therapist Louisville KY,maps,maps_search,28,28,b.mindful Louisville,bmindfullouisville.com,http://bmindfullouisville.com/,+1502-528-1363,12947764001160807206,5,14,0
therapist Louisville KY,maps,maps_search,29,29,"Michael RoBards, LCSW",michaelarobards.com,http://www.michaelarobards.com/,+1502-225-3025,14048279622754160023,5,50,0
therapist Louisville KY,maps,maps_search,30,30,University of Louisville Counseling Center,louisville.edu,http://www.louisville.edu/counseling,+1502-852-6585,14125377288956595673,3.3,6,0
therapist Louisville KY,maps,maps_search,31,31,Willow Tree Counseling & Wellness,,,+1502-653-9299,9072984888777605691,,,0
therapist Louisville KY,maps,maps_search,32,32,Woodhouse Spa - Downtown Louisville,louisville.woodhousespas.com,https://louisville.woodhousespas.com/?utm_source=google&utm_medium=yext,+1502-699-5200,14689094529386319596,4.9,306,0
therapist Louisville KY,maps,maps_search,33,33,Family Health Centers West Market Counseling Center,fhclouisville.org,http://www.fhclouisville.org/,+1502-772-8370,11175044448394009256,4.9,19,0
therapist Louisville KY,maps,maps_search,34,34,VERY.Health P.C.,very.health,https://very.health/,+1844-988-8379,1679272497424315594,5,3,0
therapist Louisville KY,maps,maps_search,35,35,"Mandy Schum, PT, DPT",uoflhealth.org,https://uoflhealth.org/provider/mandy-schum-physical-therapy/?utm_source=GMBSocialClimb&utm_medium=MandySchum%2CPT%2CDPT,+1502-815-7900,5210469156347532125,,,0
therapist Louisville KY,maps,maps_search,36,36,Kentuckiana Behavioral Services,kentuckianabehavioralservices.com,http://www.kentuckianabehavioralservices.com/,+1502-548-1146,16124359962030548277,,,0
therapist Louisville KY,maps,maps_search,37,37,Thriveworks Counseling & Therapy Louisville,thriveworks.com,https://thriveworks.com/louisville-counseling/?utm_source=GMBlisting&utm_medium=organic&field:8499441=GMB,+1502-289-6746,12344539005794056131,5,2,0
therapist Louisville KY,maps,maps_search,38,38,Rowen Specialty Clinic for Women,behavioralhealth.spalding.edu,https://behavioralhealth.spalding.edu/rowen/,+1502-792-7011,11889304832905187072,,,0
therapist Louisville KY,maps,maps_search,39,39,Step By Step Family Services,stepbystepfamilyservices.org,https://stepbystepfamilyservices.org/,+1502-353-0090,17845233296459814959,5,1,0
therapist Louisville KY,maps,maps_search,40,40,"Amber Lewis, OT",kleinertkutz.com,http://www.kleinertkutz.com/,+1502-561-4263,12576768912118661101,5,1,0
therapist Louisville KY,maps,maps_search,41,41,"Rosemarie Mabutas, OTR/L, CLT-LANA, CKTP",uoflhealth.org,https://uoflhealth.org/provider/rosemarie-mabutas-rehab-care/?utm_source=GMBSocialClimb&utm_medium=RosemarieMabutas%2COTR%2FL%2CCLT-LANA%2CCKTP,+1502-562-3457,608219977491471946,,,0
therapist Louisville KY,maps,maps_search,42,42,Choose Hope,choosehopellc.org,https://www.choosehopellc.org/,+1502-882-1238,12705673583316920498,4.7,14,0
therapist Louisville KY,maps,maps_search,43,43,Robert Brill LCSW NCPsyA Psychoanalyst/therapist,robertbrill.net,https://www.robertbrill.net/contact/,+1502-645-5376,17572901413597384079,,,0
therapist Louisville KY,maps,maps_search,44,44,"Ashlee Erlandson, PT, DPT, ATC",uoflhealth.org,https://uoflhealth.org/provider/ashlee-erlandson-physical-therapist/,+1502-588-4340,9699463796182730248,,,0
therapist Louisville KY,maps,maps_search,45,45,Core Counseling,thecorecounseling.com,http://www.thecorecounseling.com/,+1502-533-5288,3210137482875415687,5,47,0
therapist Louisville KY,maps,maps_search,46,46,"LifeWell Counseling Services, PLLC",lifewellcounselingky.com,https://www.lifewellcounselingky.com/,+1502-805-7659,18397531084342750568,5,3,0
therapist Louisville KY,maps,maps_search,47,47,Mandala House,mandalalouisville.com,http://www.mandalalouisville.com/,+1502-309-2408,7338947767413929926,4,50,0
therapist Louisville KY,maps,maps_search,48,48,"Amanda Newton, Somatic Practitioner",wellnesssomaticcenter.com,http://www.wellnesssomaticcenter.com/,+1502-744-8887,7100853581652726253,5,14,0
therapist Louisville KY,maps,maps_search,49,49,Norton Children's Behavioral and Mental Health - Bingham Clinic,nortonchildrens.com,https://nortonchildrens.com/location/loc0000191768?utm_source=third-party&utm_medium=listings&utm_campaign=ncbmh-dtc&utm_content=location-page,+1502-588-0800,1483753383765710184,3.2,9,0
therapist Louisville KY,maps,maps_search,50,50,KORT Physical Therapy - Louisville - East Gray Street,kort.com,https://www.kort.com/contact/find-a-location/ky/louisville/louisville-east-gray-street/?ty=xt,+1502-587-9350,7926911795513594331,4.9,108,0
therapist Louisville KY,maps,maps_search,51,51,"Paul J Rosen, PhD",providers.nortonchildrens.com,https://providers.nortonchildrens.com/provider/Paul+J+Rosen/2480894?utm_source=third-party&utm_medium=listings&utm_campaign=ncbmh-dtc&utm_content=provider-profile,+1502-588-0800,15717859252621797629,,,0
therapist Louisville KY,maps,maps_search,52,52,UofL Physicians-Psychiatry,uoflphysicians.com,http://www.uoflphysicians.com/psychiatry?tab=our-locations,+1502-588-4450,16819950719124493047,2.4,46,0
therapist Louisville KY,maps,maps_search,53,53,UofL Health – Frazier Rehabilitation Institute,uoflhealth.org,https://uoflhealth.org/locations/frazier-rehabilitation-institute/?utm_source=GMBSocialClimb&utm_medium=UofLHealth%E2%80%93FrazierRehabilitationInstitute,+1502-582-7400,2791559800093347928,3.6,97,0
therapist Louisville KY,maps,maps_search,54,54,"Katie McCarthy, MA, LPAT, ATR-BC Licensed Professional Art Therapist",,,+1502-572-9513,11848055230082471019,,,0
therapist Louisville KY,maps,maps_search,55,55,LifeStance Therapists & Psychiatrists Louisville,lifestance.com,https://lifestance.com/location/louisville-ky-100-executive-park/?utm_source=gmb&utm_medium=organic&utm_campaign=locations,+1502-313-6880,14167678494717924023,4.7,542,0
therapist Louisville KY,maps,maps_search,56,56,"Woven Nest Counseling & Coaching, LLC",wovennest.net,http://www.wovennest.net/,,12222716861888012086,5,9,0
therapist Louisville KY,maps,maps_search,57,57,"Sheila L. Kelly, LMT, Myofascial Release Therapist",,,+1502-741-4453,3806980677629992999,,,0
therapist Louisville KY,maps,maps_search,58,58,"Fred G. Hampton, LCSW",,,+1502-584-1369,5242861590464526283,5,2,0
therapist Louisville KY,maps,maps_search,59,59,Kimberlee Carley,,,+1502-596-7300,14604903780177635349,5,1,0
therapist Louisville KY,maps,maps_search,60,60,"Results Physiotherapy Louisville, Kentucky - Highlands",resultspt.com,https://www.resultspt.com/louisville-kentucky-highlands?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1502-813-7838,16265573493317271359,4.9,194,0
therapist Louisville KY,maps,maps_search,61,61,"Renew Counseling, LLC",renewcounselingservices.org,https://renewcounselingservices.org/,+1502-653-7211,17982171571561174484,4.4,13,0
therapist Louisville KY,maps,maps_search,62,62,Alchemy Massage Therapy,alchemymassagetherapy.com,http://www.alchemymassagetherapy.com/,+1502-315-4631,9703839944010127699,5,89,0
therapist Louisville KY,maps,maps_search,63,63,Megan Mcmillen,,,+1502-694-9488,14733175486865022220,5,1,0
therapist Louisville KY,maps,maps_search,64,64,TheraTree Pediatric Therapy at Spalding University,theratreepeds.com,http://www.theratreepeds.com/,+1502-308-1740,11914177576471679394,,,0
therapist Louisville KY,maps,maps_search,65,65,"Nancy R. Mullins, PT",,,+1502-753-0630,13971673720726183677,,,0
therapist Louisville KY,maps,maps_search,66,66,"Cy Whitler, PT, DPT",uoflhealth.org,https://uoflhealth.org/provider/cy-whitler-physical-therapist/?utm_source=GMBSocialClimb&utm_medium=CyWhitler%2CPT%2CDPT,+1502-562-3457,4064431333316014557,,,0
therapist Louisville KY,maps,maps_search,67,67,"Melissa W. Stewart LLC, Somatic Experiencing Practitioner",melissawstewart.com,https://melissawstewart.com/,+1502-836-9696,3372716724005853094,5,3,0
therapist Louisville KY,maps,maps_search,68,68,"Paige Werner, PT, DPT",uoflhealth.org,https://uoflhealth.org/provider/paige-werner-physical-therapy/?utm_source=GMBSocialClimb&utm_medium=PaigeWerner%2CPT%2CDPT,+1502-815-7900,5183852371726604839,,,0
therapist Louisville KY,maps,maps_search,69,69,"Samantha Guelda, OTR/L, CHT",uoflhealth.org,https://uoflhealth.org/provider/samantha-guelda-occupational-therapist/?utm_source=GMBSocialClimb&utm_medium=SamanthaGuelda%2COTR%2FL%2CCHT,+1502-562-3457,11229848317975166889,,,0
therapist Louisville KY,maps,maps_search,70,70,Med•Massage 4 U,medmassagelouisville.amtamembers.com,https://medmassagelouisville.amtamembers.com/,+1502-994-3305,6164600741011413109,4.9,50,0
therapist Louisville KY,maps,maps_search,71,71,Four Pillars Therapy and Lymphatics,fourpillarstherapyandlymphatics.clientsecure.me,https://fourpillarstherapyandlymphatics.clientsecure.me/,+1269-501-3964,1908787931164324832,5,21,0
therapist Louisville KY,maps,maps_search,72,72,Counseling Unconditionally,counselingunconditionally.com,https://counselingunconditionally.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,+1502-717-1596,7015820082637248146,5,36,0
therapist Louisville KY,maps,maps_search,73,73,"Holly D. Habeeb, MS",kleinertkutz.com,http://www.kleinertkutz.com/,+1502-561-4263,11117000089840930370,,,0
therapist Louisville KY,maps,maps_search,74,74,Salerno Peter,,,+1502-583-9526,5897078851835829619,5,1,0
therapist Louisville KY,maps,maps_search,75,75,"Jim Schorch, LCSW, LMFT",,,+1502-821-6309,11561314115839475235,4.4,5,0
therapist Louisville KY,maps,maps_search,76,76,Heartwood Therapy Place,heartwoodtherapyplace.com,http://www.heartwoodtherapyplace.com/,+1502-851-6384,1655653256682038578,4.6,13,0
therapist Louisville KY,maps,maps_search,77,77,Massage is Healing for Everyone,letsbeginhealing.com,https://letsbeginhealing.com/,+1502-494-6509,17059755668465330696,4.9,77,0
therapist Louisville KY,maps,maps_search,78,78,Louisville Addiction Center,louisvilleaddictioncenter.com,https://louisvilleaddictioncenter.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,+1502-586-4445,1773128703860624753,4.9,62,0
therapist Louisville KY,maps,maps_search,79,79,"Kimberly Maugans, LCSW",kimberlymaugans.com,https://www.kimberlymaugans.com/,+1502-592-8525,11520884675438339728,4.3,16,0
therapist Louisville KY,maps,maps_search,80,80,"Selena M. Mcgill, CHT",,,+1502-562-0398,15564361212705219998,,,0
therapist Louisville KY,maps,maps_search,81,81,Select Psychology | Dr. Karen McCurry,select-psychology.com,http://www.select-psychology.com/,+1502-509-1714,14211767562344358113,4.9,27,0
therapist Louisville KY,maps,maps_search,82,82,Mark Rosenthal,,,+1502-377-3535,14485800675556066958,3,2,0
therapist Louisville KY,maps,maps_search,83,83,"Spalding Outpatient Physical, Occupational, and Speech Therapy",,,+1502-873-4223,17725733061440760853,5,4,0
therapist Louisville KY,maps,maps_search,84,84,Banta Counseling LLC,bantacounseling.com,http://www.bantacounseling.com/,+1502-260-6155,14361954784997208910,4.7,13,0
therapist Louisville KY,maps,maps_search,85,85,"Acadia Counseling, LLC",acadiacounseling.com,http://www.acadiacounseling.com/,+1502-825-1375,5219951990684249017,5,1,0
therapist Louisville KY,maps,maps_search,86,86,Flaspoehler Stephanie A,kpadocs.com,http://kpadocs.com/,+1502-587-8000,13018326823072216265,,,0
therapist Louisville KY,maps,maps_search,87,87,Pain Relief & INSTANT Natural Healing In Louisville,,,+1502-333-3199,13514875079194580498,4.8,5,0
therapist Louisville KY,maps,maps_search,88,88,"Jane M. Owens, LMFT, MSSW",,,+1502-436-9504,7947700405684538407,5,2,0
therapist Louisville KY,maps,maps_search,89,89,Northstar Counseling Center,northstarcounselingcenter.com,http://northstarcounselingcenter.com/,+1502-414-1301,8715087175106616123,4.7,12,0
therapist Louisville KY,maps,maps_search,90,90,"Karen E. Behne, Cota",,,+1502-596-7300,7199307410090354873,,,0
therapist Louisville KY,maps,maps_search,91,91,"ProRehab Physical Therapy Louisville, Kentucky - West",prorehab.com,https://prorehab.com/location/west-louisville/?UTM_source=GMB_listing&UTM_medium=organic%EF%BB%BF%EF%BB%BF%EF%BB%BF,+1502-890-6900,13217049458475013960,4.9,13,0
therapist Louisville KY,maps,maps_search,92,92,"Sean Loran, OTR/L, CHT",uoflhealth.org,https://uoflhealth.org/provider/sean-loran-occupational-therapist/?utm_source=GMBSocialClimb&utm_medium=SeanLoran%2COTR%2FL%2CCHT,+1502-562-3457,713001505223009047,,,0
therapist Louisville KY,maps,maps_search,93,93,"Robert Roberts, PT",kleinertkutz.com,http://www.kleinertkutz.com/,+1502-561-4263,11513185834550073235,5,1,0
therapist Louisville KY,maps,maps_search,94,94,The Revolution in Counseling,revolutionincounseling.com,https://revolutionincounseling.com/,+1502-276-6249,15491503452985288657,5,19,0
therapist Louisville KY,maps,maps_search,95,95,Milk and Honey Counseling Studio LLC,milkandhoneylou.com,https://www.milkandhoneylou.com/,+1502-490-2729,9723227481283388901,5,2,0
therapist Louisville KY,maps,maps_search,96,96,Louisville Counseling Associates,,,+1502-495-1888,17820421987806657233,5,1,0
therapist Louisville KY,maps,maps_search,97,97,"A New Promise, LLC - Miranda Filamini, LCSW",newpromisetherapy.com,http://newpromisetherapy.com/,+1502-230-8694,8100775877684782594,5,1,0
therapist Louisville KY,maps,maps_search,98,98,Bodywork By Molly,bodyworkbymolly.com,https://www.bodyworkbymolly.com/,,11937241551110149228,5,14,0
therapist Louisville KY,maps,maps_search,99,99,"Turning Leaf Counseling/ Rachel Murrell, LCSW",louisville-therapy.com,http://www.louisville-therapy.com/,+1502-424-7017,6123479053591101813,4.5,8,0
therapist Louisville KY,maps,maps_search,100,100,"Julie Thornton, OTR/L",uoflhealth.org,https://uoflhealth.org/provider/julie-thornton-hand-therapist/?utm_source=GMBSocialClimb&utm_medium=JulieThornton%2COTR%2FL,+1502-561-4200,490619949572288392,,,0
mental health case management Louisville KY,local_finder,local_pack,1,1,Life Management Inc,lifemanagementclinic.yolasite.com,http://www.lifemanagementclinic.yolasite.com/,(502) 419-5605,6281920571881912555,4.2,10,0
mental health case management Louisville KY,local_finder,local_pack,2,2,Kentucky Mental Health Care,kentuckymentalhealth.com,http://kentuckymentalhealth.com/,(502) 233-3030,9160707147478184474,2.7,58,0
mental health case management Louisville KY,local_finder,local_pack,3,3,"Best Life Mental Health Services, LLC. - Baxter Ave.",bestlifelouisville.com,https://www.bestlifelouisville.com/,(502) 333-9466,2396202440385873287,5,1,0
mental health case management Louisville KY,local_finder,local_pack,4,4,Kentucky Mental Health Services,kentuckymentalhealthservice.com,http://kentuckymentalhealthservice.com/,(502) 996-1091,14270489554605532624,5,1,0
mental health case management Louisville KY,local_finder,local_pack,5,5,DDM behavioral health services,ddmbhs.com,http://ddmbhs.com/,(502) 384-6009,11624545022286854912,5,1,0
mental health case management Louisville KY,local_finder,local_pack,6,6,Kentucky Mental Health Care,kentuckymentalhealth.com,http://kentuckymentalhealth.com/,(502) 233-3030,8565374679302807126,,,0
mental health case management Louisville KY,local_finder,local_pack,7,7,Mental Health Lou & You,mentalhealthlou.com,http://www.mentalhealthlou.com/,(502) 806-8816,16955168078421412636,5,1,0
mental health case management Louisville KY,local_finder,local_pack,8,8,Louisville Behavioral Health,louisvillebehavioral.com,http://www.louisvillebehavioral.com/,(502) 454-8800,11940589728621395907,3.3,77,0
mental health case management Louisville KY,local_finder,local_pack,9,9,Louisville Mental Health Group,louisvillementalhealth.org,https://louisvillementalhealth.org/,(502) 416-1416,2768315829466915400,4.4,19,1
mental health case management Louisville KY,local_finder,local_pack,10,10,Bridgehaven Mental Health Services,bridgehaven.org,http://www.bridgehaven.org/,(502) 585-9444,4033867803495883304,3.4,34,0
