keyword,source,location_code,language_code,search_volume,ai_search_volume,cpc,competition,intent,intent_probability
group therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.368
case management Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.7285
mental health case management Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6697
community based mental health services Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.6105
trauma therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.5906
anxiety therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,commercial,0.5678
depression therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,70,,,LOW,commercial,0.5688
play therapy Louisville KY,google-ads-search-volume-core-agentic,2840,en,,,,,navigational,0.3968
mental health services Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.5556
therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,1300,,27.71,HIGH,informational,0.4013
therapist Louisville KY,google-ads-search-volume-louisville-dma,200529,en,1300,,27.71,HIGH,commercial,0.4341
counseling Louisville KY,google-ads-search-volume-louisville-dma,200529,en,590,,14.96,HIGH,informational,0.3694
individual therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.8044
family therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,informational,0.3566
child therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.4976
group therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.368
case management Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.7285
mental health case management Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.6697
community based mental health services Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.6105
in home therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.3794
trauma therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.5906
anxiety therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,commercial,0.5678
depression therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,50,,,LOW,commercial,0.5688
play therapy Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.3968
Louisville Mental Health Group,google-ads-search-volume-louisville-dma,200529,en,,,,,navigational,0.7137
behavioral health Louisville KY,google-ads-search-volume-louisville-dma,200529,en,140,,12.15,HIGH,,
outpatient mental health Louisville KY,google-ads-search-volume-louisville-dma,200529,en,20,,5.22,HIGH,,
Medicaid therapist Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,,
therapist that accepts Medicaid Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,,
therapy in your home Louisville KY,google-ads-search-volume-louisville-dma,200529,en,,,,,,
child therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.4976
community based mental health services near me,labs-keyword-overview-core-agentic,2840,en,,,,,informational,0.803
counseling louisville ky,labs-keyword-overview-core-agentic,2840,en,720,,12.57,0.73,informational,0.3694
family therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.3566
group therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.368
individual therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.8044
louisville mental health group,labs-keyword-overview-core-agentic,2840,en,,,,,navigational,0.7137
mental health services louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,informational,0.5556
play therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,navigational,0.3968
therapist louisville ky,labs-keyword-overview-core-agentic,2840,en,1600,,26.57,0.89,commercial,0.4341
therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,1600,,26.57,0.89,commercial,0.4013
trauma therapy louisville ky,labs-keyword-overview-core-agentic,2840,en,,,,,commercial,0.5906
